brand,product,url,description,imgSrc,imgAlt,name,specific,colorspace,hex,Hue,Saturation,Value
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,355N (medium skin with a neutral golden undertone)  selected,https://images.ulta.com/is/image/Ulta/2551437sw?$tn$,355N (medium skin with a neutral golden undertone),,355N,RGB,#A06F4A,18,137,0.6274509803921569
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,100N (very fair skin with a neutral undertone),https://images.ulta.com/is/image/Ulta/2551414sw?$50px$,100N (very fair skin with a neutral undertone),,100N,RGB,#F1E7DB,23,23,0.9450980392156862
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,110C (very fair skin with a cool undertone),https://images.ulta.com/is/image/Ulta/2551412sw?$50px$,110C (very fair skin with a cool undertone),,110C,RGB,#F0E7DB,24,22,0.9411764705882353
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,120W (very fair skin with a warm undertone),https://images.ulta.com/is/image/Ulta/2551419sw?$50px$,120W (very fair skin with a warm undertone),,120W,RGB,#EFD0AE,22,69,0.9372549019607843
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,130N (very fair skin with a neutral pink undertone),https://images.ulta.com/is/image/Ulta/2551416sw?$50px$,130N (very fair skin with a neutral pink undertone),,130N,RGB,#D5C1AA,22,51,0.8352941176470589
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,140N (fair skin with a neutral peach undertone),https://images.ulta.com/is/image/Ulta/2551415sw?$50px$,140N (fair skin with a neutral peach undertone),,140N,RGB,#DBC2A9,21,58,0.8588235294117647
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,150W (fair skin with a warm beige undertone),https://images.ulta.com/is/image/Ulta/2551418sw?$50px$,150W (fair skin with a warm beige undertone),,150W,RGB,#EFCDA8,22,75,0.9372549019607843
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,160C (fair skin with a cool golden undertone),https://images.ulta.com/is/image/Ulta/2551417sw?$50px$,160C (fair skin with a cool golden undertone),,160C,RGB,#DEC5A7,23,63,0.8705882352941177
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,200W (light skin with a warm undertone),https://images.ulta.com/is/image/Ulta/2551420sw?$50px$,200W (light skin with a warm undertone),,200W,RGB,#EDCAA1,22,81,0.9294117647058824
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,210N (light skin with a neutral golden undertone),https://images.ulta.com/is/image/Ulta/2551423sw?$50px$,210N (light skin with a neutral golden undertone),,210N,RGB,#E8C9AA,21,68,0.9098039215686274
